Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-21,34.63,34.7942,33.574,33.722,27925.18046722
2018-05-22,33.722,34.2328,33.6399,33.9702,362530.87048999
2018-05-23,33.722,33.9702,32.9477,32.9802,60162.57607954
2018-05-24,33.0632,34.0189,32.964,33.4747,77782.22222258
2018-05-25,33.7058,33.9206,33.5903,33.5903,12656.985138062
2018-05-28,33.6399,33.9702,33.6399,33.8385,11489.115357448
2018-05-29,34.8772,36.1298,34.5307,35.2066,368579.70276178
2018-05-30,35.2066,38.4221,34.7121,37.8445,449489.51167935
2018-06-01,37.7471,37.8445,36.4754,37.8445,300246.22788531
2018-06-04,37.2679,37.6307,36.5757,36.9385,123968.06794112
2018-06-05,36.6082,36.9051,36.2454,36.2788,116326.11465022
2018-06-06,35.8826,37.1027,35.8826,35.9647,147946.58174166
2018-06-07,36.0305,36.9385,36.0305,36.1795,124039.29228649
2018-06-08,36.0468,36.4105,35.8167,35.8167,149710.43170628
2018-06-11,35.8329,35.999,34.2996,35.3718,218985.53432514
2018-06-12,35.3718,35.536,33.3926,33.9368,297220.24062415
2018-06-13,34.4648,34.4648,33.722,33.8041,481115.21585501
2018-06-14,33.8041,33.9044,33.5578,33.722,366688.06794224
2018-06-15,33.9044,34.333,32.4694,32.4694,1969400.2830947
2018-06-18,32.8981,33.3764,32.667,33.2609,191939.1365897
2018-06-19,33.2446,33.2609,32.8981,32.9802,132602.97239976
2018-06-20,32.9974,33.5406,32.9974,33.3926,120477.0276014
2018-06-21,33.3926,33.4089,32.3711,32.3711,203796.9426761
2018-06-22,32.5515,32.5515,31.1996,31.8918,524257.26822605
2018-06-25,32.057,32.8322,31.908,32.4188,134554.30997939
2018-06-26,32.6518,32.7997,32.4035,32.6518,221966.48266202
2018-06-27,32.4856,33.2275,32.4856,32.9143,92939.391366315
2018-06-28,32.816,32.8818,32.0073,32.5019,92910.063694694
2018-06-29,32.5849,33.3764,32.5849,33.0136,186955.52724785
2018-07-02,33.2275,33.7392,33.0967,33.426,171973.276717
2018-07-03,33.4919,34.5965,33.4919,34.2509,161604.8973822
2018-07-04,34.2509,34.7121,34.1345,34.4972,153907.43099858
2018-07-05,34.2175,35.3546,34.1507,34.3159,291003.82165739
2018-07-06,34.2175,35.0252,34.101,34.7942,239680.39632099
2018-07-09,34.7445,34.9765,34.3159,34.3817,314107.74239352
2018-07-10,34.5794,35.4377,34.2509,34.4648,236437.5937732
2018-07-11,34.63,35.0586,34.1345,34.7445,506829.29936539
2018-07-12,34.7445,35.8005,34.7445,35.4539,345008.6341134
2018-07-13,35.7012,36.6912,34.8114,36.2788,230962.74593171
2018-07-16,36.6082,36.6578,35.8329,36.2291,78724.89738182
2018-07-17,36.0649,36.3112,35.7183,36.2454,169562.12314303
2018-07-18,36.0468,36.8554,36.0468,36.6082,237511.19603789
2018-07-19,36.6082,36.7733,36.2129,36.4602,164488.43595263
2018-07-20,36.6082,37.4665,36.5423,37.1199,193382.47700018
2018-07-23,37.1199,37.5973,36.8726,37.0206,173620.86341198
2018-07-24,36.9385,37.5648,36.9385,37.2354,165054.04104818
2018-07-25,37.1027,37.813,37.1027,37.5151,237413.78627144
2018-07-26,37.3013,37.581,36.4754,37.1199,392264.93984611
2018-07-27,36.8067,37.6641,36.7074,37.2679,166133.92781393
2018-07-30,37.2679,37.581,36.8554,37.0693,157982.92993703
2018-07-31,37.4827,38.0269,36.9547,38.0269,260954.47983135
2018-08-01,37.9276,38.4059,37.2679,38.0097,78008.464260797
2018-08-02,37.9276,38.34,37.6469,37.8779,167881.01910905
2018-08-03,37.9276,38.1758,37.8445,38.1758,138636.0934189
2018-08-06,38.1415,38.1415,37.3834,37.8445,507186.46850905
2018-08-07,37.9276,38.0097,37.5151,37.5973,122543.58103383
2018-08-08,37.8445,38.0928,37.581,37.961,168955.66879059
2018-08-09,38.0097,38.0097,37.6803,37.9276,111139.30644071
2018-08-10,38.0097,38.0097,35.8167,35.8501,158480.45293774
2018-08-13,35.8663,36.0305,35.2887,35.536,99084.585987716
2018-08-14,35.5522,35.8988,35.2228,35.3718,135080.11323487
2018-08-16,35.3718,35.6849,35.1579,35.6849,300634.81953429
2018-08-17,35.6849,36.1957,35.6849,36.1957,132186.10049601
2018-08-20,36.2454,36.2454,35.6353,36.2129,87975.682944495
2018-08-21,36.2788,36.526,36.1136,36.526,274450.44586113
2018-08-22,36.2788,36.822,36.2616,36.2616,171418.14578989
2018-08-23,36.526,36.8726,36.4439,36.6912,124994.53644785
2018-08-24,36.8888,37.0693,36.6082,36.9051,126912.35668848
2018-08-27,36.8554,37.961,36.8067,37.8293,175419.27813244
2018-08-28,39.5764,39.9898,37.8445,38.6866,383347.23283969
2018-08-29,38.7687,38.9998,38.0928,38.109,483809.17197675
2018-08-30,38.636,38.7525,38.0928,38.1758,132823.97735376
2018-08-31,38.0928,38.5042,37.4321,37.8445,246569.25690135
2018-09-03,37.9276,38.5539,37.3338,37.3338,505974.60722101
2018-09-04,37.2841,37.6803,36.9051,37.3175,375673.85704348
2018-09-05,37.5151,37.9114,36.9213,37.4493,572639.54706562
2018-09-06,37.4321,37.7787,37.1199,37.4827,805926.51097327
2018-09-07,37.2679,37.4493,36.4439,37.1027,239064.51521695
2018-09-10,37.2679,37.2679,36.3771,36.6912,161701.25973181
2018-09-11,36.8554,37.2182,35.8329,36.0305,841760.73602651
2018-09-12,36.2616,36.2788,35.4539,36.1136,415093.38995237
2018-09-13,36.1136,36.2788,35.4701,36.1633,182660.07077225
2018-09-14,36.4439,37.9114,36.3447,37.5151,437975.25831765
2018-09-17,37.4665,37.4665,35.0252,35.0252,439445.83156607
2018-09-18,35.2066,35.8501,35.0911,35.6849,325860.80679555
2018-09-19,35.767,36.4439,35.2887,35.4539,429899.6744535
2018-09-20,35.9484,37.1686,35.7346,37.0034,394328.351028
2018-09-21,36.5757,38.0431,36.4602,37.4321,1799092.399159
2018-09-24,37.6641,38.4059,37.3175,37.7471,312724.10474312
2018-09-25,37.7787,38.1758,37.1858,37.5151,375769.17197625
2018-09-26,37.5151,38.34,37.5151,38.34,90760.764331627
2018-09-27,38.2407,38.7191,37.961,38.7028,140480.59448048
2018-09-28,38.5042,39.312,38.2742,39.2967,430792.07360424
2018-10-01,39.2967,39.4943,38.2407,39.0322,75683.198868005
2018-10-02,38.9826,39.6432,38.8346,39.6432,124779.81599491
2018-10-03,39.5611,39.9726,38.9998,39.8896,112206.62420434
2018-10-04,39.5611,39.8237,39.1477,39.627,113444.67091347
2018-10-05,39.2461,39.5764,38.34,38.8346,111363.45364524
2018-10-08,38.34,38.7028,37.1027,37.1524,108787.85562683
2018-10-09,37.1524,38.0928,37.1524,38.0756,159310.00707787
2018-10-10,38.4221,38.6035,37.3338,37.7949,150875.15923636
2018-10-11,37.1027,38.4546,36.7074,37.5648,132573.64472814
2018-10-12,38.0928,38.1415,37.5151,38.1415,105597.42392122
2018-10-15,38.6694,38.6694,37.8445,38.1586,49742.873319408
2018-10-16,37.8608,38.5701,37.7787,38.5701,74392.78131669
2018-10-17,38.2579,38.5214,37.5973,37.9429,59219.9009203
2018-10-18,37.5151,37.7787,36.9385,37.5648,338957.70700793
2018-10-19,37.813,38.8833,37.6469,38.1415,249672.75300893
2018-10-22,37.7949,38.2742,37.4665,38.109,57635.159235934
2018-10-23,37.4827,39.0322,37.4665,37.813,143525.43524482
2018-10-24,37.8779,38.7687,37.8779,38.6866,87207.926398136
2018-10-25,38.1415,38.5539,37.4321,38.4718,75472.668082442
2018-10-26,38.6198,39.0494,37.35,38.9998,115357.25406989
2018-10-29,39.0656,39.164,38.109,38.34,81994.932767539
2018-10-30,38.1758,38.4221,37.7128,38.34,61663.524416419
2018-10-31,38.488,39.8237,38.0097,39.8237,130979.47629218
