Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-21,71.6,73.35,71.2,73,147139
2018-05-22,73,74.8,72.3,72.9,495141
2018-05-23,72.7,73.3,71.65,72,359307
2018-05-24,71.6,73.4,69.35,70,171281
2018-05-25,69.7,71.85,69.7,70.7,158970
2018-05-28,70.2,72.2,70.2,71.5,46409
2018-05-29,71.1,72.05,68.7,69.7,268554
2018-05-30,68.95,70.2,67.4,69.25,489811
2018-06-01,68.2,70.8,67.95,70.45,158979
2018-06-04,71.05,71.95,69.05,69.05,122529
2018-06-05,69,71.9,68.35,71.45,253158
2018-06-06,70.8,71.45,69.2,69.85,169605
2018-06-07,69.85,70.55,69.65,70.2,116806
2018-06-08,69.65,70.2,69.5,70,185906
2018-06-11,69.55,70.6,69.55,70.4,135833
2018-06-12,70.1,70.65,69.6,70.2,127771
2018-06-13,70.2,70.55,69.85,70.25,176328
2018-06-14,69.85,70.8,69.15,70.1,103099
2018-06-15,70,70.25,67.7,68,489943
2018-06-18,67.15,68.25,67.15,67.55,140996
2018-06-19,67,67.5,65.8,67.4,194048
2018-06-20,67.65,69.2,67.05,68,213824
2018-06-21,67.9,68.5,66.65,67.5,132017
2018-06-22,67.4,70.8,67.3,69,262724
2018-06-25,68.2,69.9,68.2,69,143507
2018-06-26,68.75,69.05,67.5,68,182347
2018-06-27,67.7,68.25,66.35,67.3,111719
2018-06-28,66.5,67.15,65.3,65.5,106104
2018-06-29,65.8,66.9,65.8,66.9,133067
2018-07-02,66.35,66.7,65.4,65.4,63680
2018-07-03,66,68.45,65.5,68,66355
2018-07-04,67.2,69.75,67.2,69.75,73654
2018-07-05,69.55,71,69,69.5,147567
2018-07-06,69.8,70.4,69.25,69.5,170262
2018-07-09,69.75,70,67.15,69.9,111691
2018-07-10,68.9,70,68,68.6,157171
2018-07-11,68.05,69.3,67.3,67.3,108938
2018-07-12,67.4,68.4,67.4,67.55,32765
2018-07-13,68.2,68.35,66.5,67.1,171156
2018-07-16,67.5,68,66.8,67.65,74762
2018-07-17,67.9,68.95,66.25,68.95,139543
2018-07-18,68.8,68.85,66.5,67.1,130145
2018-07-19,67.2,67.6,66.2,67.6,123894
2018-07-20,67,68.05,66.2,67.6,129526
2018-07-23,67.8,68.2,67.45,67.75,49615
2018-07-24,68.3,70.95,68.15,70.9,290267
2018-07-25,70.95,71.7,69.9,70.2,109165
2018-07-26,70.8,73.9,70.5,73.55,242518
2018-07-27,73.6,73.6,70.7,71,185385
2018-07-30,71.3,73,71.3,73,123136
2018-07-31,72.5,73.35,71.95,72.65,107637
2018-08-01,73.45,73.45,71.6,72.6,160334
2018-08-02,72.4,72.75,71,71.5,180995
2018-08-03,71.5,71.5,70.4,70.75,120994
2018-08-06,71,71.95,70.3,71.9,90047
2018-08-07,71.55,73.25,71.2,73.25,76977
2018-08-08,78.5,78.8,75.4,76.2,960237
2018-08-09,76.45,76.45,71.6,72.5,880899
2018-08-10,71.8,71.8,70.05,70.05,443449
2018-08-13,69.7,70,67.5,68.5,357957
2018-08-14,68.5,69.3,67.15,67.55,274826
