Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-21,135.958,141.708,135.008,140.748,418747.68029995
2018-05-22,141.61,142.184,138.165,140.273,302137.29250576
2018-05-23,140.748,140.748,136.057,138.452,144203.06065025
2018-05-24,138.353,139.6,137.017,138.551,205346.22525705
2018-05-25,139.689,139.689,137.779,138.551,157538.1889512
2018-05-28,138.838,139.6,137.779,138.838,159947.78672359
2018-05-29,139.224,139.224,135.107,137.591,166129.89522223
2018-05-30,136.928,141.045,136.443,140.946,432011.07634017
2018-06-01,140.946,143.144,139.788,143.144,289571.01280221
2018-06-04,144.391,151.191,144.193,150.904,337997.36098928
2018-06-05,151.755,152.141,147.835,150.33,262247.0833455
2018-06-06,152.141,152.913,145.064,146.113,289639.71412235
2018-06-07,146.499,149.082,142.768,146.499,295805.65760448
2018-06-08,147.459,147.459,143.619,143.807,254194.88450024
2018-06-11,153.012,153.012,134.434,137.68,774367.94021744
2018-06-12,138.066,147.261,137.967,143.807,575530.15472967
2018-06-13,150.33,151.854,144.777,148.696,952503.39113329
2018-06-14,148.696,159.901,146.974,157.694,589903.88534089
2018-06-15,158.941,165.167,155.783,160.861,794389.32346919
2018-06-18,161.91,165.077,156.842,164.691,383700.91420922
2018-06-19,162.197,162.484,156.169,158.179,422783.8828579
2018-06-20,158.466,161.633,158.268,158.753,228688.50908652
2018-06-21,159.703,160.089,154.447,157.129,262735.06478116
2018-06-22,157.981,161.336,155.783,159.238,191219.01114748
2018-06-25,159.901,161.148,158.466,158.753,115687.97154002
2018-06-26,156.842,160.188,156.169,158.654,208358.98020768
2018-06-27,157.793,158.852,157.03,157.892,221074.78631389
2018-06-28,157.515,157.892,148.221,150.805,480163.62956023
2018-06-29,150.518,155.308,150.419,154.922,259748.57798235
2018-07-02,152.913,157.793,152.428,154.249,145405.33375262
2018-07-03,155.12,156.743,153.863,155.872,72942.616340017
2018-07-04,156.07,160.475,155.595,160.089,175366.18152629
2018-07-05,160.376,173.214,160.287,171.392,546621.04334219
2018-07-06,171.392,172.343,168.423,169.195,304032.64069067
2018-07-09,169.195,173.402,168.136,168.324,171358.26774722
2018-07-10,169.482,180.489,168.522,170.432,565077.4509338
2018-07-11,170.432,172.828,168.809,171.006,373581.61387872
2018-07-12,172.828,176.945,170.917,176.945,285258.9946502
2018-07-13,175.223,183.834,175.223,183.834,362010.49300359
2018-07-16,184.794,189.011,182.686,189.011,349824.09118784
2018-07-17,186.714,193.227,185.843,192.643,579833.0800599
2018-07-18,192.257,202.214,191.02,200.878,551609.97156024
2018-07-19,200.69,200.69,184.507,194.365,551435.18731931
2018-07-20,190.535,196.672,188.724,195.9,280191.26197669
2018-07-23,198.196,199.542,194.177,194.949,175502.57385303
2018-07-24,197.246,199.918,196.474,199.156,215694.86675918
2018-07-25,198.582,202.986,197.246,201.264,209192.48887109
2018-07-26,201.838,207.391,201.264,205.293,244242.28590242
2018-07-27,206.243,208.737,202.6,208.351,225519.15553851
2018-07-30,207.777,211.608,204.709,205.481,241012.31354253
2018-07-31,205.293,205.293,187.189,189.11,557630.42989385
2018-08-01,186.516,196.474,177.331,196.286,433446.73186829
2018-08-02,194.563,196.088,187.1,187.1,192285.90223664
2018-08-03,188.912,194.563,188.625,188.625,162380.6217072
2018-08-06,191.307,192.455,188.912,190.248,66752.425333129
2018-08-07,191.693,198.394,191.02,196.86,190240.01733556
2018-08-08,199.156,206.045,198.008,205.669,353308.66255764
2018-08-09,205.669,205.669,201.076,205.293,114214.93441124
2018-08-10,203.57,204.907,194.365,194.365,205337.13243527
2018-08-13,192.455,202.6,190.832,201.65,224959.44184212
2018-08-14,202.986,205.669,197.434,203.937,164375.99093172
2018-08-16,200.304,203.184,197.632,197.81,171494.66007396
2018-08-17,199.156,200.116,194.563,194.563,157161.34200399
2018-08-20,196.474,202.026,194.751,201.076,113576.41625939
2018-08-21,202.986,205.481,201.264,203.937,157919.07715254
2018-08-22,201.462,202.798,196.286,197.434,177090.78672439
2018-08-23,198.394,200.304,195.137,200.116,117990.47607808
2018-08-24,201.076,201.076,195.9,197.632,124508.00866914
2018-08-27,198.394,204.907,198.394,202.986,241907.45133135
2018-08-28,210.647,212.944,206.817,209.875,448187.20629142
2018-08-29,207.965,210.647,207.777,210.459,189561.08664246
2018-08-30,210.073,210.073,201.462,201.462,288169.70793416
2018-08-31,199.918,200.116,194.751,197.246,317601.15141737
2018-09-03,197.632,199.918,189.496,193.227,259909.21783384
2018-09-04,194.365,195.137,184.794,186.229,319799.5936617
2018-09-05,185.744,187.674,176.084,176.846,402937.28384707
2018-09-06,174.837,180.578,173.313,174.649,372987.54952225
2018-09-07,176.173,181.063,165.652,166.127,499297.95753141
2018-09-10,163.731,173.313,160.663,172.056,400838.86264236
2018-09-11,175.124,179.152,172.639,174.837,287042.19803312
2018-09-12,176.945,178.093,169.759,170.62,269232.3911016
2018-09-13,170.432,175.035,169.571,172.54,191523.11552044
2018-09-14,174.649,175.609,171.491,174.263,144263.67946214
2018-09-17,174.263,177.133,172.54,173.501,146951.11345566
2018-09-18,173.877,183.27,172.639,181.449,298157.66750558
2018-09-19,183.834,187.1,181.548,181.825,262231.92864253
2018-09-20,183.834,184.22,179.053,181.637,377541.03260827
2018-09-21,182.884,191.218,181.924,185.467,2013052.7422551
2018-09-24,187.853,189.397,176.173,179.439,268540.32633259
2018-09-25,179.439,180.004,175.698,178.855,160532.75825827
2018-09-26,180.201,180.201,176.272,179.152,119925.22649071
2018-09-27,178.479,184.319,177.232,184.22,265501.30323014
2018-09-28,185.744,186.615,176.945,179.34,265225.48763607
2018-10-01,180.875,184.695,179.34,184.695,153896.0086705
2018-10-02,182.597,183.359,178.568,181.924,178254.66791256
2018-10-03,182.112,186.13,180.578,184.794,245232.39316319
2018-10-04,183.834,184.992,172.442,172.639,327136.49052673
2018-10-05,173.778,176.658,167.562,174.55,337732.65884405
2018-10-08,172.442,172.442,156.169,156.169,549148.84779775
2018-10-09,155.209,159.802,150.132,157.03,597399.40143035
2018-10-10,158.179,158.941,143.144,148.894,609172.58501176
2018-10-11,143.342,147.924,140.461,145.539,684605.62420667
2018-10-12,149.181,156.258,147.924,156.07,472814.60893282
2018-10-15,159.802,159.901,150.033,151.854,227714.56684225
2018-10-16,152.725,157.981,151.854,157.981,237083.20421892
2018-10-17,159.901,161.633,154.536,157.515,291295.61800031
2018-10-18,158.08,158.08,147.637,148.409,510905.44969367
2018-10-19,151.29,152.814,146.687,150.33,261195.34695931
2018-10-22,152.24,152.24,148.409,150.33,136235.72814163
2018-10-23,148.023,148.023,136.156,138.165,941349.52974664
2018-10-24,138.65,143.619,137.215,137.215,298151.60562439
2018-10-25,132.127,144.678,129.267,144.579,661056.22610327
2018-10-26,143.144,144.866,135.394,136.829,335367.51486704
2018-10-29,137.967,146.974,137.403,141.897,400428.67534861
2018-10-30,141.421,146.499,138.937,145.915,509393.01033716
2018-10-31,148.023,153.675,148.023,151.577,611285.15060591
2018-11-02,157.981,162.583,155.209,157.318,690301.77189671
2018-11-05,157.03,161.247,153.675,155.209,311128.07262169
2018-11-06,156.545,159.703,151.478,156.357,253163.35438468
2018-11-07,157.219,159.139,155.407,158.179,191756.49794619
2018-11-08,158.753,163.157,148.983,149.369,383444.29457224
2018-11-09,149.468,149.845,141.708,143.441,661490.66092177
2018-11-13,142.669,144.965,137.403,140.273,556274.58913471
2018-11-14,133.097,143.53,132.998,140.273,362486.35067688
2018-11-15,139.511,142.471,132.127,132.127,366808.47196421
2018-11-16,135.206,138.838,123.427,126.773,756605.61802189
2018-11-19,126.773,131.375,124.565,128.307,466585.01569821
2018-11-20,125.614,129.267,119.022,123.516,924700.5730627
2018-11-21,125.436,131.751,124.763,131.652,467396.29746393
2018-11-22,133.186,134.434,126.674,133.097,306180.56725843
2018-11-23,134.82,135.493,129.732,134.236,225288.80405335
2018-11-26,135.958,137.779,129.455,132.998,286814.87748855
2018-11-27,133.76,133.76,126.97,129.069,257312.71205814
2018-11-28,130.316,133.562,128.881,132.127,343747.05529647
2018-11-29,134.047,137.878,133.285,135.008,258987.8118932
2018-11-30,135.671,136.344,129.267,136.156,353792.60273918
2018-12-03,142.471,149.944,142.283,147.459,780652.09038275
2018-12-04,147.736,148.122,143.718,147.558,446150.41421211
2018-12-05,143.619,144.391,138.937,142.085,454326.88162173
2018-12-06,139.788,140.946,136.73,137.591,239645.35933455
2018-12-07,138.838,143.342,137.591,137.878,265028.47649744
2018-12-10,136.156,139.412,134.236,134.236,201969.75743511
2018-12-11,135.671,137.68,134.146,134.434,214996.74010898
2018-12-12,136.631,137.779,134.047,135.77,216868.85108267
2018-12-13,137.68,139.026,134.622,137.878,201936.41708857
2018-12-14,135.958,140.075,135.295,137.502,180660.22443082
2018-12-17,138.066,138.264,133.097,133.097,215559.48474597
2018-12-18,132.226,137.304,129.643,136.542,298866.90760462
2018-12-19,136.73,146.499,135.206,146.499,416534.08335265
2018-12-20,142.956,146.301,142.085,143.441,397765.48887984
2018-12-21,143.718,150.132,142.669,144.579,678198.21579053
2018-12-27,149.369,150.33,140.362,141.233,248485.6027343
2018-12-28,138.838,140.659,137.116,139.412,297376.69514581
2019-01-02,139.224,144.866,136.057,144.579,205761.46411846
2019-01-03,144.391,144.391,140.748,141.708,233511.74588542
2019-01-04,141.708,144.391,141.708,144.292,171228.9476152
2019-01-07,145.539,148.023,145.064,147.172,196333.21824343
2019-01-08,147.924,150.033,145.539,147.073,290666.19267025
2019-01-09,147.558,157.981,147.459,157.981,498333.10810892
2019-01-10,157.515,164.88,153.299,163.731,725926.4373274
2019-01-11,165.652,169.571,157.03,158.08,505988.25373634
2019-01-14,157.03,157.03,152.052,152.725,273659.58499619
2019-01-15,154.348,157.03,152.24,155.407,326573.74588974
2019-01-16,157.03,159.525,156.545,159.525,156492.5144462
2019-01-17,157.981,164.691,157.605,163.82,385473.00414329
2019-01-18,165.652,167.562,163.256,166.503,315194.58458558
2019-01-21,166.414,166.414,163.444,165.454,127537.93894981
2019-01-22,165.365,168.898,164.978,166.701,155042.71452864
2019-01-23,169.947,189.961,168.522,186.328,1278568.9493167
2019-01-24,186.516,192.841,178.093,181.924,814067.20012027
2019-01-25,182.884,186.13,179.815,181.726,376439.79085905
2019-01-28,179.905,184.022,177.331,179.627,251989.37006119
2019-01-29,179.627,184.408,177.806,182.013,232103.36882265
2019-01-30,183.834,189.298,182.884,186.803,319515.69555938
2019-01-31,189.585,190.535,181.924,181.924,461937.57345377
2019-02-01,181.924,183.933,180.103,181.924,227781.24753532
2019-02-04,181.924,182.884,179.439,182.597,188289.10190642
2019-02-05,183.359,184.794,180.964,183.458,156342.98804356
2019-02-06,182.884,182.884,173.402,174.738,527083.60027197
2019-02-07,173.689,175.51,169.284,170.432,373902.8935817
2019-02-08,169.858,174.55,169.096,170.719,356198.15925745
2019-02-11,172.729,177.133,171.867,175.886,274551.69184442
2019-02-12,177.133,177.895,166.701,169.571,350672.75455422
