Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-21,20.8565,21.802,20.8565,21.5661,470601.39725533
2018-05-22,21.8366,21.8366,20.7217,21.025,620342.62434291
2018-05-23,21.0934,21.4144,20.9408,21.2291,605766.76321639
2018-05-24,21.5324,21.7514,21.0082,21.025,465081.50027199
2018-05-25,21.3798,22.0388,21.2291,21.7683,621393.82980675
2018-05-28,21.904,22.3589,21.6513,21.6513,245540.87136501
2018-05-29,21.8862,22.0219,20.9408,21.1102,442722.01820088
2018-05-30,21.025,21.5661,20.9754,21.025,2963343.929345
2018-06-01,21.025,21.1102,20.3164,20.9576,1169250.2822677
2018-06-04,21.1439,21.4977,20.9576,21.025,507497.21341825
2018-06-05,21.1102,21.5146,20.704,21.4144,603785.06998935
2018-06-06,21.1102,21.2609,20.7723,21.0934,551457.68581319
2018-06-07,21.1102,21.2291,19.9439,20.4849,791068.43367239
2018-06-08,20.586,20.6038,20.0627,20.1133,825148.21568626
2018-06-11,20.2649,20.4344,19.8606,20.1133,862299.35512749
2018-06-12,20.2649,20.688,20.0796,20.688,733125.00567168
2018-06-13,19.1669,19.4206,19.0836,19.1669,6673900.5131944
2018-06-14,19.2353,19.5732,19.2016,19.2184,1641804.5286977
2018-06-15,19.4206,19.4889,19.2184,19.2353,1421219.1041163
2018-06-18,19.2184,19.3364,18.5772,18.9142,902418.22706721
2018-06-19,18.7953,18.8805,18.2561,18.3909,1386834.8571053
2018-06-20,18.5772,19.0995,18.2889,18.3909,1297479.187785
2018-06-21,18.5772,19.2353,18.492,19.0836,1223652.3016174
2018-06-22,19.151,19.3204,18.931,19.151,1172158.190065
2018-06-25,19.0153,19.4206,18.9994,19.0153,401853.20089977
2018-06-26,19.3027,19.3027,18.8636,19.1173,652640.48489981
2018-06-27,19.1173,19.2184,18.8805,19.2184,1043043.6653104
2018-06-28,18.8636,19.3364,18.8636,19.0836,1127853.7256382
2018-06-29,19.1669,19.6574,19.0321,19.5395,1244410.4046334
2018-07-02,19.0995,19.4889,19.0321,19.4206,724638.44448807
2018-07-03,19.4712,19.5732,19.269,19.5732,323191.19691783
2018-07-04,19.5732,19.59,19.3532,19.4375,356226.18325729
2018-07-05,19.5217,19.6574,19.3869,19.3869,330645.78200585
2018-07-06,19.4375,19.8269,19.3869,19.59,393324.97608497
2018-07-09,19.6406,19.7932,19.4375,19.6406,144963.79737798
