Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-05-21,107.7,109.7,102.6,103.6,245563
2018-05-22,103.7,106.9,103.6,105.8,141529
2018-05-23,106.9,107.5,102.9,102.9,152256
2018-05-24,104,109.6,103.8,108.8,212951
2018-05-25,107.7,112,107.5,112,188903
2018-05-28,110.6,111.9,106.6,108,180303
2018-05-29,107,111.4,104.2,111.2,291199
2018-05-30,110,111.4,107,111.4,550332
2018-06-01,111.2,112.9,106.2,106.7,288936
2018-06-04,108,109,106.9,108.3,177429
2018-06-05,107.9,109,106.5,107.4,121496
2018-06-06,108,108.1,105,105,216891
2018-06-07,105.5,107.3,102.2,103.1,164329
2018-06-08,103,104,100.4,102.2,192491
2018-06-11,103,103.9,100.1,100.1,230560
2018-06-12,100.2,101,96.65,100,305766
2018-06-13,100.9,103,98.85,99.9,172870
2018-06-14,101,103.9,99.6,103.3,256132
2018-06-15,103.5,104.9,101.8,102.3,169808
2018-06-18,102,102.2,98.1,98.7,213214
2018-06-19,98,99.8,95.6,99.5,423493
2018-06-20,99.55,102,98.8,100.5,385663
2018-06-21,100,102,99,102,362454
2018-06-22,102,102,96.05,98.15,388809
2018-06-25,97.1,98.95,97,97.6,38914
2018-06-26,97.65,97.65,95.95,96.9,178983
2018-06-27,96.05,101.2,96.05,100.5,365308
2018-06-28,100,102,99.95,100.5,129253
2018-06-29,101.1,104.4,101,104,363188
2018-07-02,103.5,103.8,100.3,101.3,351361
2018-07-03,102,104.8,100.6,104,289873
2018-07-04,103.9,109.7,103.9,109.3,171327
2018-07-05,109.2,112.1,106.5,106.5,324010
2018-07-06,106.9,108,103.5,103.5,262383
2018-07-09,104.6,104.9,100,100.6,337376
2018-07-10,101,101.7,98.75,99.5,604486
2018-07-11,99.9,101.5,98.6,101.2,202416
2018-07-12,101.4,101.5,99.8,100.4,171892
2018-07-13,100.5,102.4,100.2,101,190801
2018-07-16,102.4,103.4,100.6,103.4,142315
2018-07-17,103.5,103.5,101.7,102.4,279186
2018-07-18,102.5,102.9,99.6,101.2,135575
2018-07-19,100.4,101.8,99.8,101,101262
2018-07-20,102,105,101.5,104.6,184184
2018-07-23,105,106,104.3,105.4,128612
2018-07-24,104.6,105.9,103.1,103.1,148774
2018-07-25,103.2,105.8,103.2,104.3,112315
2018-07-26,103.7,104.4,101.2,101.8,175711
2018-07-27,102,102.5,100.1,101,135268
2018-07-30,101,101.2,97,97.55,218885
2018-07-31,97.55,101.8,97,100.2,303439
2018-08-01,100.2,101,99.4,100.7,128047
2018-08-02,100,100.7,97.7,98.5,81412
2018-08-03,99,99,97.25,98.5,97841
2018-08-06,98,99.95,97.8,99.9,136261
2018-08-07,99.85,100.5,98.45,100.1,84567
2018-08-08,100,103.4,99.5,103.4,143517
2018-08-09,103.1,104,100.9,103.3,76208
2018-08-10,101.9,102.5,99.8,101.3,87255
2018-08-13,100.4,100.9,98.8,99,50981
2018-08-14,99,100.7,97.5,99.4,102389
2018-08-16,100.2,100.2,97.5,97.55,57053
2018-08-17,98.5,101.5,97.7,101.2,108647
2018-08-20,101.8,102.9,98.1,98.2,109692
2018-08-21,98.4,100,97.4,98,69850
2018-08-22,101.3,102.3,93.55,95.8,477651
