Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1997-07-10,7.74767,7.74767,7.74767,7.74767,7468378.59
1997-07-11,7.91272,7.91272,7.91272,7.91272,4723911.66
1997-07-14,7.12369,7.12369,7.12369,7.12369,1207887.18
1997-07-15,6.43262,6.43262,6.43262,6.43262,2524244.69
1997-07-16,7.0567,7.0567,7.0567,7.0567,1730779.04
1997-07-17,7.19058,7.25291,7.19058,7.25291,2332878.93
1997-07-18,7.08796,7.08796,6.86058,6.89175,811115.73
1997-07-21,7.08796,7.08796,7.02553,7.08796,1109876.5
1997-07-22,7.08796,7.19058,7.08796,7.12369,719622.89
1997-07-23,7.15476,7.15476,6.95864,7.02553,617080.21
1997-07-24,7.08796,7.08796,7.02553,7.02553,752074.07
1997-07-25,7.0567,7.0567,6.98981,6.98981,600257.22
1997-07-28,6.92748,6.92748,6.82505,6.82505,625707.49
1997-07-29,6.76252,6.92748,6.76252,6.86058,358116.58
1997-07-30,6.86058,7.08796,6.86058,7.02553,399166.2
1997-07-31,6.98981,6.98981,6.82505,6.86058,396911.53
1997-08-01,6.86058,6.98981,6.86058,6.86058,296223.88
1997-08-04,6.92748,6.98981,6.92748,6.95864,420125.67
1997-08-05,6.98981,7.08796,6.98981,7.08796,621217.72
1997-08-06,7.08796,7.08796,6.98981,7.02553,454116.7
1997-08-07,7.0567,7.52019,7.0567,7.48466,568192.29
1997-08-08,7.3867,7.91272,7.3867,7.7165,1124651.85
1997-08-11,7.58291,7.58291,7.35553,7.3867,808415.07
1997-08-12,7.35553,7.58291,7.35553,7.48466,668427.77
1997-08-13,7.58291,7.58291,7.58291,7.58291,895932.11
1997-08-14,7.31981,7.41786,7.28864,7.31981,388458.32
1997-08-18,7.22165,7.22165,7.02553,7.08796,373485.21
1997-08-19,7.31981,7.58291,7.31981,7.45359,698697.41
1997-08-20,7.52019,7.52019,7.3867,7.41786,684938.67
1997-08-21,7.25291,7.25291,7.19058,7.19058,237351.14
1997-08-22,7.15476,7.31981,7.15476,7.28864,227456.96
1997-08-25,7.19058,7.28864,7.08796,7.08796,213034.9
1997-08-26,7.08796,7.22165,7.08796,7.15476,248498.83
1997-08-27,7.15476,7.22165,7.15476,7.19058,233563.83
1997-08-28,7.35553,7.52019,7.35553,7.48466,929878.85
1997-08-29,7.41786,7.41786,7.35553,7.3867,995053.13
1997-09-01,7.28864,7.35553,7.28864,7.28864,264571.98
1997-09-02,7.41786,7.48466,7.41786,7.45359,615322
1997-09-03,7.52019,7.68534,7.52019,7.64961,1176492.78
1997-09-04,7.52019,7.52019,7.41786,7.45359,613014.8
1997-09-05,7.41786,7.55165,7.41786,7.48466,527781.27
1997-09-08,7.45359,7.45359,7.3867,7.45359,209169.31
1997-09-09,7.35553,7.41786,7.35553,7.3867,401969.86
1997-09-10,7.35553,7.45359,7.35553,7.3867,391742.99
1997-09-11,7.28864,7.3867,7.28864,7.35553,395465.41
1997-09-12,7.35553,7.41786,7.35553,7.3867,357241.08
1997-09-15,7.31981,7.41786,7.31981,7.3867,319098.12
1997-09-16,7.31981,7.35553,7.25291,7.25291,354486.86
1997-09-17,7.22165,7.22165,7.15476,7.19058,383335.1
1997-09-18,7.12369,7.25291,7.08796,7.25291,557540.03
1997-09-19,7.41786,7.55165,7.41786,7.55165,1419536.73
1997-09-22,7.58291,7.58291,7.45359,7.48466,892835.93
1997-09-23,7.48466,7.48466,7.3867,7.41786,607931.75
1997-09-24,7.28864,7.3867,7.28864,7.35553,432450.65
1997-09-25,7.22165,7.22165,7.12369,7.15476,637573.09
1997-09-26,7.12369,7.15476,7.08796,7.08796,561170.78
1997-09-29,7.15476,7.22165,7.15476,7.15476,450430.33
1997-09-30,7.28864,7.28864,7.15476,7.19058,405090.76
1997-10-01,7.25291,7.28864,7.22165,7.28864,704721.88
1997-10-02,7.22165,7.22165,7.15476,7.15476,557709.98
1997-10-03,7.25291,7.3867,7.25291,7.31981,1471235.52
1997-10-06,7.25291,7.3867,7.25291,7.31981,1536995.87
1997-10-07,7.25291,7.48466,7.25291,7.45359,1502770
1997-10-08,7.48466,7.7833,7.48466,7.74767,2376683.8
1997-10-09,7.58291,7.68534,7.55165,7.55165,2322893.08
1997-10-10,7.45359,7.48466,7.3867,7.3867,1148023.58
1997-10-13,7.52019,7.61845,7.52019,7.61845,997653.88
1997-10-14,7.58291,7.68534,7.52019,7.55165,1208141.59
1997-10-15,7.68534,7.7165,7.64961,7.7165,1801201.17
1997-10-16,7.74767,7.74767,7.61845,7.64961,1117216.28
1997-10-17,7.68534,7.7833,7.68534,7.74767,1243715.73
1997-10-20,7.7833,7.85029,7.7833,7.7833,1813249.08
1997-10-21,7.88146,8.07767,7.88146,8.04641,1557303.35
1997-10-22,8.07767,8.24262,8.07767,8.1133,1785918.03
1997-10-23,8.04641,8.04641,7.74767,7.7833,3304849.76
1997-10-24,7.7165,7.85029,7.7165,7.81476,1822565.43
1997-10-27,7.31981,7.35553,7.19058,7.19058,1903757.24
1997-10-28,6.59777,6.59777,5.93796,6.03573,694408.49
1997-10-29,7.19058,7.19058,6.76252,7.02553,2137724.83
1997-10-30,6.82505,6.82505,6.59777,6.72689,1984239.38
1997-10-31,6.79359,6.86058,6.76252,6.82505,2345450.08
1997-11-03,6.82505,6.95864,6.82505,6.92748,1387627.33
1997-11-04,6.69573,6.76252,6.62883,6.66,1551888.64
1997-11-05,6.59777,6.62883,6.56204,6.56204,1426605.62
1997-11-06,6.69573,6.69573,6.62883,6.62883,814951.45
1997-11-07,6.53068,6.53068,6.36583,6.43262,1019896.73
1997-11-12,6.43262,6.43262,5.93796,6.13398,1172333.64
1997-11-13,5.87107,5.93796,5.77291,5.93796,2001848.26
1997-11-14,6.03573,6.03573,5.90204,5.93796,1477877.99
1997-11-17,6.23204,6.26767,6.10272,6.23204,1393468.46
1997-11-18,6.26767,6.26767,6.13398,6.16534,1221640.77
1997-11-19,5.80417,5.93796,5.80417,5.83534,1007391.5
1997-11-20,5.80417,5.80417,5.70602,5.77291,790753.66
1997-11-21,5.96903,5.96903,5.83534,5.90204,926868.16
1997-11-24,5.37612,5.47417,5.24243,5.27786,1834975.9
1997-11-25,5.21126,5.24243,5.17553,5.21126,1632670.51
1997-11-26,5.24243,5.24243,5.04621,5.07738,1283459.31
