Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-05-10,33.945,35.764,33.382,35.601,1086865
2011-05-11,35.514,35.514,35.002,35.002,64741
2011-05-12,34.739,35.421,33.997,34.996,89660
2011-05-13,34.653,34.722,34.484,34.594,14579
2011-05-16,34.61,34.909,34.552,34.816,46639
2011-05-17,34.739,34.809,34.484,34.491,81382
2011-05-18,34.567,34.679,34.491,34.567,9240
2011-05-19,34.567,34.62,33.672,34.61,27520
2011-05-20,34.637,34.637,34.337,34.567,25412
2011-05-23,34.577,34.577,34.328,34.398,46173
2011-05-24,34.14,34.567,33.8,34.567,48593
2011-05-25,34.484,34.996,34.484,34.996,10792
2011-05-26,34.782,35.337,34.739,34.739,39064
2011-05-27,34.491,34.824,34.491,34.782,11649
2011-05-30,34.534,34.653,34.228,34.235,17632
2011-05-31,34.175,35.577,34.134,35.387,70818
2011-06-01,35.387,35.387,34.567,35.294,1789
2011-06-02,35.252,35.252,34.567,35.158,7094
2011-06-03,34.61,35.122,34.567,34.61,6803
2011-06-06,34.491,34.996,34.312,34.996,44798
2011-06-07,34.567,34.996,34.567,34.996,63535
2011-06-08,34.567,34.996,34.567,34.996,138335
2011-06-09,34.824,34.824,34.567,34.567,44297
2011-06-10,34.484,34.567,34.228,34.567,66573
2011-06-13,34.484,34.653,34.484,34.61,25626
2011-06-14,34.175,34.406,34.175,34.406,67734
2011-06-15,34.15,34.567,34.15,34.552,13784
2011-06-16,32.605,34.184,32.605,34.14,19651
2011-06-17,34.013,34.14,33.629,34.14,49525
2011-06-20,32.861,34.14,32.861,33.885,113514
2011-06-21,33.715,34.14,33.715,33.885,132272
2011-06-22,33.723,34.559,33.723,34.14,3593
2011-06-24,34.134,34.312,33.979,34.14,13725
2011-06-27,34.073,34.228,34.056,34.14,61929
2011-06-28,33.459,34.14,33.459,34.14,3075
2011-06-29,34.056,34.312,34.056,34.312,9758
2011-06-30,34.567,34.567,34.14,34.567,13639
2011-07-01,34.996,36.66,34.996,36.539,41069
2011-07-04,36.489,37.129,36.489,37.129,27562
2011-07-05,37.257,37.298,36.719,36.957,14588
2011-07-06,36.839,36.957,36.019,36.957,10164
2011-07-07,36.957,37.385,36.395,37.129,16830
2011-07-08,36.957,37.343,35.891,35.891,6016
2011-07-11,35.866,36.616,35.823,35.933,5287
2011-07-12,36.462,36.462,33.783,35.833,50012
2011-07-13,34.996,36.275,34.996,35.848,7528
2011-07-14,35.089,35.839,35.089,35.833,19872
2011-07-15,35.833,35.833,35.421,35.677,730
2011-07-18,35.096,35.096,34.567,34.909,2600
2011-07-19,34.739,34.909,34.158,34.567,2906
2011-07-20,34.567,34.866,34.253,34.261,2295
2011-07-21,34.484,34.484,33.723,34.14,4728
2011-07-22,34.15,34.866,34.15,34.866,59753
2011-07-25,34.97,34.97,34.398,34.952,3032
2011-07-26,34.96,35.415,34.824,34.996,4594
2011-07-27,34.996,35.166,34.567,34.567,2994
2011-07-28,34.567,34.567,33.885,34.228,7832
2011-07-29,34.746,34.746,34.066,34.739,27252
2011-08-01,34.15,34.355,33.621,33.715,57639
2011-08-02,34.013,34.013,33.629,33.629,24644
2011-08-03,33.972,33.972,32.006,32.947,38920
2011-08-04,31.581,33.203,31.581,31.751,39797
2011-08-05,27.313,32.006,27.313,31.411,31821
2011-08-08,29.106,31.154,29.021,29.788,28704
2011-08-09,29.021,29.063,26.212,28.594,165760
2011-08-10,29.361,29.873,26.554,27.313,79190
2011-08-11,27.739,29.021,27.057,29.021,14546
2011-08-12,30.258,30.641,29.447,30.497,3852
2011-08-16,31.411,31.411,29.277,30.215,9954
2011-08-17,31.299,31.299,29.873,29.873,2284
2011-08-18,29.857,30.583,28.337,28.337,11696
2011-08-19,28.337,29.524,28.337,29.507,4278
2011-08-22,29.873,30.386,29.447,30.302,1095
2011-08-23,30.47,30.47,29.873,29.873,1910
2011-08-24,29.703,29.873,29.703,29.873,514
2011-08-25,29.958,30.728,29.958,30.302,936
2011-08-26,31.017,31.017,30.302,30.728,1387
2011-08-29,31.069,31.411,30.302,31.411,61347
2011-08-30,31.411,31.411,31.069,31.24,32743
2011-08-31,32.28,33.544,31.411,32.178,33764
2011-09-01,32.861,32.861,30.728,31.999,2131
2011-09-02,31.368,32.016,31.368,31.897,5715
2011-09-05,31.154,31.581,30.47,31.581,2838
2011-09-06,31.563,31.837,31.24,31.837,83602
2011-09-07,31.837,32.4,31.795,32.093,725
2011-09-08,34.14,34.14,33.416,34.14,367785
2011-09-09,34.124,34.228,32.451,33.8,16985
2011-09-12,33.8,33.8,32.137,32.518,5015
2011-09-13,32.518,33.297,32.006,32.434,3664
2011-09-14,32.434,32.518,32.434,32.434,17706
2011-09-15,33.118,33.118,32.784,32.826,1470
2011-09-16,32.442,33.698,32.442,33.672,2004
2011-09-19,33.715,33.715,32.691,33.374,76036
2011-09-20,33.374,33.885,33.374,33.885,2964
2011-09-21,33.715,34.876,33.715,34.484,3502
2011-09-22,34.14,34.14,33.416,33.544,7256
2011-09-23,32.707,34.004,32.707,33.118,137796
2011-09-26,33.715,34.414,33.442,34.414,2897
2011-09-27,34.398,35.848,34.398,35.421,15891
2011-09-28,35.508,36.88,35.508,36.786,70185
2011-09-29,36.701,37.444,36.701,37.444,11662
2011-09-30,36.275,37.829,36.275,36.701,73822
2011-10-03,36.701,36.701,35.082,36.01,8719
2011-10-04,35.848,35.848,34.422,34.484,12774
2011-10-05,34.996,36.028,34.909,36.01,7002
2011-10-06,36.088,36.701,35.933,36.275,779
2011-10-07,36.028,36.028,35.719,35.848,7290
2011-10-10,35.848,35.848,35.082,35.848,10592
2011-10-11,36.088,36.104,35.677,36.104,48435
2011-10-12,36.189,36.446,35.473,36.446,38731
2011-10-13,36.446,37.539,35.772,36.189,7340
2011-10-14,35.875,36.189,35.848,35.933,47840
2011-10-17,36.957,36.957,35.848,35.848,1638
