Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1996-01-30,11.6076,11.6076,11.6076,11.6076,257481.02188631
1996-01-31,12.0249,12.0249,12.0249,12.0249,272031.02188566
1996-02-01,12.0249,12.0249,12.0249,12.0249,132195.98539556
1996-02-02,12.5245,12.5245,12.5245,12.5245,217963.1386764
1996-02-05,12.6524,12.6524,12.6524,12.6524,85608.39415676
1996-02-06,12.5245,12.5245,12.5245,12.5245,159441.24086879
1996-02-07,12.0249,12.0249,12.0249,12.0249,451425.54742509
1996-02-08,12.5245,12.5245,12.5245,12.5245,265386.13137501
1996-02-09,13.7758,13.7758,13.7758,13.7758,269534.67152081
1996-02-12,15.154,15.154,15.154,15.154,159642.7007228
1996-02-13,15.8655,15.8655,15.8655,15.8655,482260.94888357
1996-02-14,15.4481,15.4481,15.4481,15.4481,182006.93429844
1996-02-15,15.4481,15.4481,15.4481,15.4481,176437.22626949
1996-02-16,15.4052,15.4052,15.4052,15.4052,82770.437952507
1996-02-19,15.0316,15.0316,15.0316,15.0316,89484.306565346
1996-02-20,14.8207,14.8207,14.8207,14.8207,130418.97809636
1996-02-21,14.8207,14.8207,14.8207,14.8207,159665.69342353
1996-02-22,15.2381,15.2381,15.2381,15.2381,78942.700726401
1996-02-23,15.154,15.154,15.154,15.154,50207.29926783
1996-02-26,15.2819,15.2819,15.2819,15.2819,82860.218974401
1996-02-27,15.1979,15.1979,15.1979,15.1979,89016.788317192
1996-02-28,15.0316,15.0316,15.0316,15.0316,18893.43065609
1996-02-29,15.5723,15.5723,15.5723,15.5723,121164.96349824
1996-03-01,15.6545,15.6545,15.6545,15.6545,55214.233574176
1996-03-04,16.1989,16.1989,16.1989,16.1989,116790.87590719
1996-03-05,17.2437,17.2437,17.2437,17.2437,111843.06568844
1996-03-06,17.7844,17.7844,17.7844,17.7844,59808.394157913
1996-03-07,19.58,19.58,19.58,19.58,62790.875909604
1996-03-08,17.8666,17.8666,17.8666,17.8666,89063.868609161
1996-03-11,17.6611,17.6611,17.6611,17.6611,39806.934304791
1996-03-12,17.7844,17.7844,17.7844,17.7844,58149.635033899
1996-03-13,17.9954,17.9954,17.9954,17.9954,62835.766420551
1996-03-14,17.7844,17.7844,17.7844,17.7844,33712.773721122
1996-03-15,17.9507,17.9507,17.9507,17.9507,11276.277371759
1996-03-18,18.5781,18.5781,18.5781,18.5781,21419.343064737
1996-03-19,19.1225,19.1225,19.1225,19.1225,64485.766420477
1996-03-20,19.8294,19.8294,19.8294,19.8294,99283.576637901
1996-03-21,19.6239,19.6239,19.6239,19.6239,190775.91240024
1996-03-22,19.8294,19.8294,19.8294,19.8294,47549.999997876
1996-03-25,19.7463,19.7463,19.7463,19.7463,205108.02918792
1996-03-26,19.4138,19.4138,19.4138,19.4138,11534.671532332
1996-03-27,19.3298,19.3298,19.3298,19.3298,12671.167882646
1996-03-28,19.58,19.58,19.58,19.58,20505.109488135
1996-03-29,19.6239,19.6239,19.6239,19.6239,21556.204378599
1996-04-01,19.5399,19.5399,19.5399,19.5399,13663.138685521
1996-04-02,19.3298,19.3298,19.3298,19.3298,14124.08759061
1996-04-03,19.1225,19.1225,19.1225,19.1225,18145.620437146
1996-04-04,18.9133,18.9133,18.9133,18.9133,21279.197079341
1996-04-05,19.1225,19.1225,19.1225,19.1225,47379.197078176
1996-04-09,18.7891,18.7891,18.7891,18.7891,27840.875911165
1996-04-10,18.7891,18.7891,18.7891,18.7891,30732.481750452
1996-04-11,18.9571,18.9571,18.9571,18.9571,14114.233576012
1996-04-12,19.0403,19.0403,19.0403,19.0403,4330.2919706095
1996-04-15,19.3298,19.3298,19.3298,19.3298,16318.248174454
1996-04-16,19.3298,19.3298,19.3298,19.3298,31219.708027803
1996-04-17,19.4138,19.4138,19.4138,19.4138,13362.043795024
1996-04-18,19.7463,19.7463,19.7463,19.7463,30635.036494982
1996-04-19,19.6239,19.6239,19.6239,19.6239,12051.459853476
1996-04-22,19.7463,19.7463,19.7463,19.7463,47548.905107365
1996-04-23,19.8294,19.8294,19.8294,19.8294,61922.62773446
1996-04-24,19.8294,19.8294,19.8294,19.8294,65952.919705083
1996-04-25,19.8294,19.8294,19.8294,19.8294,15757.664232873
