Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2001-05-16,39.1146,39.1146,35.9633,38.7912,4242.4351379456
2001-05-17,37.5795,38.7111,37.1759,38.7111,2596.6271706127
2001-05-18,37.2561,37.9831,37.2561,37.9831,12.4290091932
2001-05-24,38.7912,38.7912,38.7912,38.7912,5.1787538305
2001-05-25,39.1146,39.1146,39.1146,39.1146,296.2247191046
2001-05-29,39.0345,39.0345,39.0345,39.0345,246.5086823318
2001-05-30,38.8713,38.8713,38.8713,38.8713,246.5086823318
2001-05-31,38.8713,38.8713,38.8713,38.8713,123.2543411659
2001-06-01,38.4687,38.4687,38.4687,38.4687,246.5086823318
2001-06-04,38.3886,38.3886,37.9831,37.9831,2104.6455567152
2001-06-05,38.8713,38.8713,37.9831,37.9831,421.5505618027
2001-06-06,38.7912,38.8713,37.9831,38.8713,304.5107252334
2001-06-07,38.8713,38.8713,38.8713,38.8713,495.0888661958
2001-06-08,39.0345,39.0345,39.0345,39.0345,123.2543411659
2001-06-11,39.0345,39.0345,39.0345,39.0345,60.0735444338
2001-06-12,37.5795,39.1146,37.5795,39.1146,307.6179775317
2001-06-15,38.9534,39.1967,38.7912,39.1967,3919.2808989224
2001-06-18,39.1967,39.1967,39.1967,39.1967,185.3993871319
2001-06-21,38.3886,38.3886,38.3886,38.3886,246.5086823318
2001-06-22,38.7912,38.7912,38.7912,38.7912,433.9795709959
2001-06-25,38.8713,38.8713,38.7912,38.7912,246.5086823318
2001-06-26,38.7912,38.7912,38.3886,38.3886,470.2308478094
2001-06-28,39.6012,39.6012,38.7912,39.1146,742.6332992937
2001-06-29,39.6012,39.6012,39.6012,39.6012,854.4943820325
2001-07-02,38.8713,38.8713,38.8713,38.8713,474.3738508738
2001-07-03,39.1146,39.5192,39.1146,39.1146,827.5648621139
2001-07-04,39.1967,39.357,39.1967,39.2759,865.8876404596
2001-07-05,39.1967,39.1967,39.1967,39.1967,436.0510725281
2001-07-06,39.4381,39.6012,39.4381,39.6012,532.3758937754
2001-07-09,39.6804,39.6804,39.6804,39.6804,371.8345250299
2001-07-10,39.6012,39.6804,39.6012,39.6012,594.5209397414
2001-07-11,39.6012,39.6012,39.6012,39.6012,826.5291113478
2001-07-12,39.6012,39.7615,39.6012,39.7615,1819.8140960377
2001-07-13,39.6012,39.6012,39.6012,39.6012,60.0735444338
2001-07-16,39.8436,39.8436,39.8436,39.8436,357.3340143045
2001-07-17,39.6804,39.8436,39.6804,39.8436,965.3197140052
2001-07-18,40.0029,40.0849,40.0029,40.0849,1064.7517875508
2001-07-19,40.0849,40.3273,40.0849,40.3273,3032.6782431408
2001-07-20,40.4084,40.4084,40.4084,40.4084,266.1879468877
