Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-11-18,7.55998,7.73975,7.38556,7.38556,11760179.514425
1998-11-19,7.34059,7.34059,6.98122,7.20587,7791731.5447321
1998-11-20,7.34059,7.5152,7.34059,7.5152,5910999.2483584
1998-11-23,7.60504,7.78472,7.60504,7.65001,5745259.5331412
1998-11-24,7.65001,7.65001,7.34059,7.38556,3587688.5248016
1998-11-25,7.38556,7.47023,7.29562,7.42536,1918237.3661248
1998-11-26,7.42536,7.42536,7.29562,7.34059,1100904.0260349
1998-11-27,7.29562,7.29562,7.20587,7.20587,1590471.4434607
1998-11-30,7.11594,7.20587,7.11594,7.11594,2234696.5826088
1998-12-01,6.98122,6.98122,6.89138,6.93635,2335851.7817427
1998-12-02,6.93635,7.07106,6.93635,7.02619,1351246.499475
1998-12-03,6.98122,7.29562,6.98122,7.20587,1230265.3704529
1998-12-04,7.16081,7.47023,7.16081,7.47023,1832826.6874103
1998-12-07,7.5152,7.5152,7.29562,7.38556,1206581.6986058
1998-12-08,7.38556,7.47023,7.38556,7.42536,1695732.0910949
1998-12-09,7.42536,7.42536,7.38556,7.42536,1533827.1239804
1998-12-10,7.5152,7.5152,7.42536,7.42536,2251221.8489624
1998-12-11,7.38556,7.47023,7.29562,7.42536,1785574.312997
1998-12-14,7.38556,7.5152,7.38556,7.47023,1155903.2396244
1998-12-15,7.47023,7.5152,7.42536,7.42536,790369.90821386
1998-12-16,7.5152,7.65001,7.5152,7.60504,2093002.1698856
1998-12-17,7.5152,7.55998,7.47023,7.47023,586754.08602118
1998-12-18,7.5152,7.55998,7.5152,7.55998,1277234.5023653
1998-12-21,7.5152,7.65001,7.5152,7.60504,898695.00976927
1998-12-22,7.65001,7.73975,7.65001,7.69469,2299433.6942829
1998-12-23,7.78472,7.96412,7.78472,7.91905,1661315.5142965
1998-12-28,7.91905,8.00937,7.8295,7.91905,743317.16227904
1998-12-29,7.87476,7.87476,7.73975,7.78472,1689728.604286
1998-12-30,7.78472,7.87476,7.78472,7.78472,693599.21937996
1998-12-31,7.78472,7.8295,7.78472,7.8295,348353.78533149
1999-01-04,7.91905,8.32358,7.91905,8.32358,1674507.7166819
1999-01-05,8.2788,8.36931,8.2788,8.32358,1862499.2136124
1999-01-06,8.45801,9.03695,8.45801,9.03695,2137694.910038
1999-01-07,9.26256,9.26256,8.81326,9.03695,2697766.7163335
1999-01-08,9.48645,10.1552,9.3525,10.071,3027801.7145307
1999-01-11,9.8462,9.8462,9.39651,9.62135,2347994.6281469
1999-01-12,9.66536,9.93613,9.62135,9.71129,3104660.7691034
1999-01-13,9.39651,9.39651,8.54766,8.76752,2503111.1818171
1999-01-14,8.63817,9.08173,8.63817,8.72734,3619099.1774944
1999-01-15,8.45801,8.90272,8.41323,8.85708,3686853.7102022
1999-01-18,9.26256,10.1992,9.26256,10.071,2339444.0491804
1999-01-19,10.071,10.47,9.8462,10.2901,3593395.1818309
1999-01-20,10.559,11.0077,10.559,10.7829,3378957.6147881
1999-01-21,11.5875,11.7224,11.0986,11.2785,6350499.6343415
1999-01-22,10.7389,10.9637,10.515,10.515,2961004.5623795
1999-01-25,10.2901,11.0536,10.2901,10.9197,1887592.8269123
1999-01-26,11.3225,11.8564,11.2785,11.4536,2666879.696456
1999-01-27,11.6315,11.6315,11.3225,11.4976,2380598.8710096
1999-01-28,11.3225,11.8114,11.3225,11.7655,2065232.9078686
1999-01-29,11.9913,12.2611,11.9913,12.2161,2935099.8930622
1999-02-01,12.3061,12.3061,11.9913,12.1262,2295918.7698159
1999-02-02,11.9023,12.0812,11.7655,11.8114,1190247.6993284
1999-02-03,11.8114,11.9454,11.6775,11.8564,987078.16698036
1999-02-04,12.0812,12.0812,11.8564,11.8564,1085529.4976647
1999-02-05,11.6315,11.6775,11.4536,11.5426,807272.48284364
1999-02-08,11.4976,11.9023,11.3675,11.7655,475325.85905916
1999-02-09,11.6315,11.6315,11.3225,11.3225,476292.64619325
1999-02-10,11.0536,11.2326,10.9637,11.0986,1054405.2229986
1999-02-11,11.1876,11.2785,11.1436,11.1876,775301.61620066
1999-02-12,11.6315,11.6315,11.1436,11.1876,662708.01880133
1999-02-15,11.0986,11.2326,11.0986,11.1436,501707.12830416
1999-02-16,11.1436,11.4976,11.1436,11.4976,1445675.9956815
1999-02-17,11.2785,11.3225,11.0986,11.1436,631884.7546159
1999-02-18,11.0986,11.0986,10.9197,10.9197,515309.03939938
1999-02-19,10.7389,10.7389,10.071,10.1552,2318425.5742976
1999-02-22,10.2442,10.2442,9.8462,10.0251,1181746.2436001
