Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1998-06-30,26.4807,26.4807,26.4807,26.4807,1163780.330132
1998-07-01,28.1651,28.1651,28.1651,28.1651,1352936.6024854
1998-07-02,29.3727,29.3727,29.3727,29.3727,1234761.1967074
1998-07-03,28.1651,28.1651,28.1651,28.1651,1765257.3040014
1998-07-06,28.1651,28.1651,28.1651,28.1651,819728.01926297
1998-07-07,27.4447,28.1651,27.4447,27.6883,598459.46355303
1998-07-08,27.4447,27.4447,26.4807,26.4807,1581926.341139
1998-07-09,26.4807,26.4807,26.4807,26.4807,546133.35626243
1998-07-10,26.4807,27.2059,26.4807,26.9632,200670.26134941
1998-07-13,27.4447,28.6476,27.4447,28.4087,106423.1086665
1998-07-14,28.8912,29.6106,28.8912,28.8912,335997.49656357
1998-07-15,29.3727,29.6106,28.4087,29.3727,661987.11142142
1998-07-16,29.3727,29.3727,28.8912,29.1282,430528.50069078
1998-07-17,29.8552,30.094,29.6106,29.8552,481435.35075991
1998-07-20,29.8552,31.2959,29.8552,31.2959,261486.4924365
1998-07-21,31.2959,31.2959,30.3386,30.5746,245308.01925894
1998-07-22,30.8144,30.8144,29.8552,30.3386,311157.31774634
1998-07-23,30.5746,31.2959,30.5746,31.0571,213909.60110191
1998-07-24,30.8144,31.2959,30.8144,31.0571,148315.55708495
1998-07-27,30.5746,30.5746,30.094,30.5746,111615.04814384
1998-07-28,30.3386,30.3386,29.6106,29.8552,171815.91471922
1998-07-29,29.8552,30.5746,29.8552,30.5746,275733.08115737
1998-07-30,30.8144,30.8144,30.5746,30.8144,125459.16093623
1998-07-31,30.094,30.3386,29.8552,30.3386,184501.32049648
1998-08-03,29.3727,30.3386,29.3727,29.8552,165088.21183059
1998-08-04,30.094,30.094,29.8552,29.8552,199945.80467816
1998-08-05,28.8912,29.3727,28.8912,29.1282,276362.21458241
1998-08-06,29.3727,29.8552,29.1282,29.1282,135317.70288953
1998-08-07,29.3727,29.8552,29.3727,29.8552,94954.66299929
1998-08-10,29.8552,29.8552,29.3727,29.6106,92138.390647139
1998-08-11,29.1282,29.1282,27.9272,27.9272,249934.37414206
1998-08-12,28.8912,29.6106,28.6476,29.3727,278758.00550402
1998-08-13,28.4087,28.4087,27.6883,28.1651,103834.55295809
1998-08-14,28.4087,28.8912,28.4087,28.8912,102240.53645189
1998-08-17,28.4087,29.1282,28.4087,28.8912,140418.55570938
1998-08-18,29.1282,29.8552,29.1282,29.3727,88267.207703508
1998-08-19,29.1282,29.6106,29.1282,29.6106,167844.11279347
1998-08-20,29.1282,29.1282,28.4087,28.6476,333772.22833797
1998-08-21,28.6476,28.8912,27.9272,28.6476,354931.870704
1998-08-24,28.4087,29.1282,28.4087,29.1282,142856.7125182
1998-08-25,28.8912,28.8912,28.4087,28.4087,66953.988996343
1998-08-26,28.4087,28.6476,28.4087,28.4087,351811.62311113
1998-08-27,27.9272,28.1651,27.4447,27.9272,757018.03301769
1998-08-28,25.2769,25.9992,24.7964,25.9992,47144.759285062
1998-08-31,24.5565,25.04,24.313,24.5565,190252.48968497
1998-09-01,22.1017,22.3397,20.7988,22.148,253657.27648046
1998-09-02,23.8314,24.7964,23.5935,24.7964,242103.03989166
1998-09-03,24.5565,24.5565,23.5935,23.5935,387447.68913614
1998-09-04,24.076,24.7964,24.076,24.7964,237636.61623275
1998-09-07,24.7964,25.9992,24.7964,25.5215,115247.92297192
1998-09-08,24.7964,25.7603,24.7964,25.7603,372802.86107552
1998-09-09,25.5215,25.5215,25.04,25.2769,252849.14718197
1998-09-10,24.5565,25.04,24.5565,24.5565,159745.87345367
1998-09-11,23.8314,24.076,23.6917,23.8314,79290.935351313
1998-09-14,24.076,24.5565,24.076,24.076,203421.92572357
1998-09-15,23.7852,23.8843,23.7852,23.8314,318418.83081379
1998-09-16,23.7852,24.0288,23.7852,23.8314,174746.57496684
1998-09-17,23.3556,23.5472,22.9675,22.9675,99784.374141002
1998-09-18,22.9675,23.4953,22.9675,23.4953,48942.132049862
1998-09-21,22.6305,22.6305,22.148,22.5833,28120.35763431
1998-09-22,22.7749,23.112,22.7749,22.8731,78660.742779094
1998-09-23,23.112,24.076,23.112,23.5935,62673.975241155
1998-09-24,24.5565,24.5565,24.076,24.076,73783.370014273
1998-09-25,23.8314,23.8314,23.5935,23.5935,40542.035763696
1998-09-28,23.8314,23.8314,23.3556,23.3556,77839.903714439
1998-09-29,23.5935,23.5935,23.3556,23.5935,91320.729024024
1998-09-30,22.6305,22.6305,22.148,22.199,21897.867950635
1998-10-01,20.3702,20.3702,19.6441,19.7423,61879.614856005
1998-10-02,18.344,18.5867,18.2505,18.4885,176396.72627359
1998-10-05,17.9125,18.344,17.3328,17.5245,201581.12792438
1998-10-06,17.3838,17.3838,16.5142,17.1411,123032.65474639
1998-10-07,17.5755,17.5755,15.8401,16.5652,88796.781293608
1998-10-08,15.8401,15.8401,14.7354,14.9271,94773.548831476
1998-10-09,14.9271,15.2651,14.9271,15.2651,97998.651995185
1998-10-12,16.3745,16.8503,16.3745,16.8503,142949.91747005
1998-10-13,17.3328,17.5755,16.7578,16.8503,131729.31224301
1998-10-14,16.3745,16.9957,16.3745,16.8503,46563.287483133
1998-10-15,17.1865,17.1865,16.1772,16.3745,33160.839064882
1998-10-16,17.8134,18.6329,17.7681,18.5394,160403.60385257
1998-10-19,18.7783,18.7783,18.344,18.394,111662.70976695
1998-10-20,18.5394,19.2145,18.2968,19.2145,135380.19257316
1998-10-21,18.2968,19.2145,18.2968,18.4885,195279.20220219
1998-10-22,18.0579,18.6329,18.0579,18.394,96437.46905157
1998-10-23,18.5394,19.0162,18.5394,18.7783,201051.55433428
1998-10-26,19.2598,19.2598,18.733,19.0691,71102.668501186
1998-10-27,18.7783,18.7783,17.9597,17.9597,41300.385144719
1998-10-28,17.6236,17.6236,17.1865,17.2393,62351.994498374
1998-10-29,17.3328,17.8134,17.3328,17.5755,120989.55983579
1998-10-30,19.0162,19.0162,18.4885,18.5867,196561.82943742
1998-11-02,20.8979,21.6655,20.847,21.6193,212739.24346779
1998-11-03,21.184,21.184,19.8868,19.9802,87929.339753024
1998-11-04,20.271,21.4267,20.271,21.184,217727.82668653
1998-11-05,20.4627,20.509,20.2248,20.4155,171087.22145925
1998-11-06,20.6081,20.6081,20.2248,20.5618,155244.49793782
