Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-11-10,13.6579,14.4818,13.6579,14.424,99346194.813574
2004-11-12,14.424,15.1893,14.424,14.5413,35494235.347311
2004-11-15,14.424,14.5413,14.1913,14.4818,14765035.184741
2004-11-16,14.424,14.4818,14.3654,14.424,6701150.7095027
2004-11-17,14.424,14.4818,14.3067,14.424,5531682.1849547
2004-11-18,14.424,14.4818,14.3654,14.424,3076729.4893221
2004-11-19,14.4818,14.4818,14.3067,14.3067,5133861.0053761
2004-11-22,14.249,14.3067,14.0088,14.1913,6291467.369405
2004-11-23,14.1327,14.1913,14.0088,14.1327,6077809.910949
2004-11-24,14.1327,14.1327,14.0088,14.1327,5436339.1164485
2004-11-25,14.1327,14.5413,14.1327,14.5413,4808441.6498769
2004-11-26,14.4818,14.5413,14.3654,14.5413,1825443.9603135
2004-11-29,14.4818,14.6,14.424,14.6,3893169.0312928
2004-11-30,14.6,14.7741,14.5413,14.7164,8537393.392962
2004-12-01,14.5413,14.8392,14.4818,14.8392,4221208.3097755
2004-12-02,14.7741,15.0729,14.7741,15.0143,4592195.4196332
2004-12-03,15.0143,15.0729,14.896,15.0729,4618040.1703431
2004-12-06,14.9547,15.0143,14.7741,14.9547,1957945.0344954
2004-12-07,14.896,15.247,14.896,15.247,4722355.8574146
2004-12-08,15.0729,15.1893,15.0143,15.1306,2133536.8058813
2004-12-09,15.0143,15.0729,14.896,14.9547,1437916.6396731
2004-12-10,14.896,15.1306,14.896,15.0143,4048120.4500232
2004-12-13,14.9547,15.0143,14.7164,14.8392,1671652.6550813
2004-12-14,14.7741,14.9547,14.7164,14.8392,2600404.0738278
2004-12-15,14.7741,14.896,14.7164,14.7741,1466273.89545
2004-12-16,14.7741,15.0143,14.7164,14.9547,2265022.7807523
2004-12-17,14.896,15.3056,14.8392,15.3056,4235386.4005743
2004-12-20,15.3056,15.8959,15.3056,15.8372,5170375.577732
2004-12-21,15.7208,16.2459,15.6035,16.1295,3883866.6397239
2004-12-22,16.1872,16.7784,15.7208,16.1295,4300914.5521768
2004-12-23,15.9545,16.2459,15.6035,15.6035,1991703.2631139
2004-12-24,15.6035,15.8372,15.5449,15.8372,404644.36563467
2004-12-27,15.8372,15.8372,15.6622,15.7786,757544.44671212
2004-12-28,15.7786,15.7786,15.5449,15.6035,1000533.4414476
2004-12-29,15.6035,16.1295,15.6035,16.0122,2119055.796558
2004-12-30,16.0709,16.4851,16.0709,16.3111,1753667.3085082
2004-12-31,16.3111,16.4851,16.3111,16.3697,623236.60317467
2005-01-03,16.4851,16.8938,16.4274,16.7197,2400848.4394499
2005-01-04,16.6024,16.7197,16.4274,16.6024,1682733.8873475
2005-01-05,16.4851,16.6024,16.1295,16.1295,2340583.7657559
2005-01-06,16.0709,16.4851,15.7786,16.3697,2232553.5671319
2005-01-07,16.3111,16.6602,16.2459,16.6602,2315125.7195454
2005-01-10,16.4851,16.5438,16.2459,16.3111,1727451.9659864
2005-01-11,16.3697,16.4274,16.0122,16.3697,1658596.0073307
2005-01-12,16.1872,16.3697,16.0709,16.3697,919007.53954076
2005-01-13,16.3697,16.4851,16.2459,16.4274,2577514.3900008
2005-01-14,16.3111,16.3697,16.0709,16.0709,1280406.5261717
2005-01-17,16.1295,16.2459,15.8959,16.1295,1872022.5172663
