Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2010-05-12,15.1878,15.6665,15.1478,15.6665,166033860.99145
2010-05-13,15.5782,15.7473,15.4062,15.5363,41556263.956081
2010-05-14,15.461,15.6665,15.3746,15.449,24290557.790167
2010-05-17,15.0567,15.3607,15.0224,15.2752,21402066.751816
2010-05-18,15.2529,15.4397,15.2445,15.3607,13200087.947919
2010-05-19,15.2408,15.3096,15.0521,15.0521,21252194.069233
2010-05-20,14.9703,15.014,14.3829,14.4043,23838670.606997
2010-05-21,14.4043,14.6432,14.1877,14.6432,12250353.098997
2010-05-24,14.6478,14.9917,14.6432,14.9043,10785388.942444
2010-05-25,14.5827,14.7909,14.2732,14.3597,11672547.728744
2010-05-26,14.5484,15.4062,14.5484,15.4062,58449905.076204
2010-05-27,15.1441,15.3356,15.0995,15.2408,5486905.0144704
2010-05-28,15.2482,15.2919,15.0567,15.2315,3807147.6622233
2010-05-31,15.0567,15.2315,14.9276,15.2315,1716851.0994095
2010-06-01,15.0307,15.2213,14.8179,15.1701,5781641.9275814
2010-06-02,15.0967,15.2752,15.0614,15.2092,5228630.277876
2010-06-04,15.1701,15.2752,14.8829,14.8829,5112722.5393244
2010-06-07,14.6218,14.9043,14.6218,14.7956,4158912.0692676
2010-06-08,14.8039,14.9703,14.7528,14.7528,27988382.402684
2010-06-09,14.7826,15.1404,14.7091,15.0995,5083118.3377589
2010-06-10,14.9824,15.2882,14.9824,15.2315,7481742.955758
2010-06-11,15.2055,15.2529,15.1181,15.1878,9108095.4688663
2010-06-14,15.1878,15.383,15.0995,15.3049,3796877.9146695
2010-06-15,15.2315,15.3579,15.1581,15.3384,6146969.5025317
2010-06-16,15.3477,15.383,15.066,15.3356,7591424.2900044
2010-06-17,15.2092,15.4053,15.1878,15.3876,6860334.4645655
2010-06-18,15.3449,15.6135,15.3449,15.5577,25586206.14124
2010-06-21,15.5363,15.8756,15.5363,15.8756,7934367.1506691
2010-06-22,15.6878,15.8096,15.6005,15.6665,4075871.8266063
2010-06-23,15.6218,15.7538,15.5875,15.6218,4751889.122104
2010-06-24,15.6218,15.7101,15.449,15.449,3855126.588642
