Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
1993-06-22,5.25252,5.25252,5.25252,5.25252,1170144.0330349
1993-06-24,4.79648,4.79648,4.79648,4.79648,1037254.6265865
1993-06-28,4.79648,4.79648,4.79648,4.79648,493162.18947216
1993-06-29,5.07592,5.07592,5.07592,5.07592,399597.62186082
1993-07-01,5.25252,5.25252,5.25252,5.25252,646698.47485162
1993-07-05,5.49534,5.49534,5.49534,5.49534,419169.62657807
1993-07-06,5.52484,5.52484,5.52484,5.52484,292880.99843168
1993-07-08,4.97298,4.97298,4.97298,4.97298,317938.49843203
1993-07-12,5.07592,5.07592,5.07592,5.07592,149770.18475048
1993-07-13,5.0391,5.0391,5.0391,5.0391,191258.91509696
1993-07-15,4.97298,4.97298,4.97298,4.97298,346475.19654563
1993-07-19,4.97298,4.97298,4.97298,4.97298,295519.69340027
1993-07-20,4.89943,4.89943,4.89943,4.89943,361853.77752068
1993-07-22,5.0097,5.0097,5.0097,5.0097,418428.12500573
1993-07-26,5.0097,5.0097,5.0097,5.0097,271536.05739366
1993-07-27,4.93605,4.93605,4.93605,4.93605,207381.0180846
1993-07-29,5.0097,5.0097,5.0097,5.0097,272836.21069556
1993-08-02,5.07592,5.07592,5.07592,5.07592,220216.87500302
1993-08-03,5.07592,5.07592,5.07592,5.07592,234483.20361956
1993-08-05,5.0391,5.0391,5.0391,5.0391,243475.17295931
1993-08-09,5.52484,5.52484,5.52484,5.52484,634639.47720995
1993-08-10,6.08382,6.08382,6.08382,6.08382
1993-08-12,6.70923,6.70923,6.70923,6.70923
1993-08-16,7.33444,7.33444,7.33444,7.33444,775809.65802949
1993-08-17,8.07062,8.07062,8.07062,8.07062,977871.86715176
1993-08-19,8.83501,8.83501,8.83501,8.83501,662447.80661285
1993-08-23,9.62958,9.62958,9.62958,9.62958
1993-08-24,10.5353,10.5353,10.5353,10.5353,284270.89229949
1993-08-26,11.6173,11.6173,11.6173,11.6173,589866.52123449
1993-08-30,10.468,10.468,10.468,10.468,572173.52595123
1993-08-31,9.46031,9.46031,9.46031,9.46031,657589.65802787
1993-09-02,10.3284,10.3284,10.3284,10.3284,402950.54245835
1993-09-06,11.2995,11.2995,11.2995,11.2995,904973.3726539
1993-09-07,10.1522,10.1522,10.1522,10.1522,851563.03460286
1993-09-09,9.73352,9.73352,9.73352,9.73352,394540.45991106
1993-09-13,9.62958,9.62958,9.62958,9.62958,229842.25236164
1993-09-14,9.73352,9.73352,9.73352,9.73352,252121.64701603
1993-09-16,10.0483,10.0483,10.0483,10.0483,413607.35456541
1993-09-20,9.0408,9.0408,9.0408,9.0408,316069.5911993
1993-09-21,8.13615,8.13615,8.13615,8.13615,260320.59355702
1993-09-23,7.33444,7.33444,7.33444,7.33444,316224.15487855
1993-09-27,6.74586,6.74586,6.74586,6.74586,504559.49293144
1993-09-28,7.40799,7.40799,7.40799,7.40799
1993-09-30,8.07062,8.07062,8.07062,8.07062,342116.0967028
1993-10-04,8.83501,8.83501,8.83501,8.83501,774126.63129991
1993-10-05,9.24759,9.24759,9.24759,9.24759,739028.55346924
1993-10-07,9.24759,9.24759,9.24759,9.24759,788802.09906741
1993-10-11,9.80677,9.80677,9.80677,9.80677,751999.77988451
1993-10-12,10.3958,10.3958,10.3958,10.3958,667354.44576386
1993-10-14,10.3958,10.3958,10.3958,10.3958,567799.27280652
1993-10-18,11.2322,11.2322,11.2322,11.2322,1197602.8262743
1993-10-19,10.8135,10.8135,10.8135,10.8135,430227.49607508
1993-10-21,10.2255,10.2255,10.2255,10.2255,581647.37029099
1993-10-26,9.80677,9.80677,9.80677,9.80677,439005.29874815
1993-10-28,10.3958,10.3958,10.3958,10.3958,571930.06290092
1993-11-02,10.3958,10.3958,10.3958,10.3958,341916.07311789
1993-11-04,10.468,10.468,10.468,10.468,666896.81604687
1993-11-08,10.0483,10.0483,10.0483,10.0483,374827.0243762
1993-11-09,9.80677,9.80677,9.80677,9.80677,487801.96148467
1993-11-10,10.3958,10.3958,10.3958,10.3958,309211.20676524
1993-11-15,10.7402,10.7402,10.7402,10.7402,544810.70362381
1993-11-16,10.6383,10.6383,10.6383,10.6383,401779.69733255
1993-11-18,9.56425,9.56425,9.56425,9.56425,532167.79874943
1993-11-22,9.56425,9.56425,9.56425,9.56425,392974.61871607
1993-11-23,10.1522,10.1522,10.1522,10.1522,219457.18946841
1993-11-25,10.2255,10.2255,10.2255,10.2255,339670.35377824
1993-11-29,10.2255,10.2255,10.2255,10.2255,435386.69025754
1993-11-30,10.3284,10.3284,10.3284,10.3284,270282.37421754
1993-12-02,10.468,10.468,10.468,10.468,526286.29717702
1993-12-06,11.542,11.542,11.542,11.542,864916.12422568
1993-12-07,11.9608,11.9608,11.9608,11.9608,710760.57390911
1993-12-09,11.8885,11.8885,11.8885,11.8885,490438.63601301
1993-12-13,12.2399,12.2399,12.2399,12.2399,508219.52044721
1993-12-14,12.2399,12.2399,12.2399,12.2399,359713.12107411
1993-12-16,12.5497,12.5497,12.5497,12.5497,446936.53695581
1993-12-20,13.4545,13.4545,13.4545,13.4545,640512.89702135
1993-12-21,13.7356,13.7356,13.7356,13.7356,462353.50629564
1993-12-23,14.2573,14.2573,14.2573,14.2573,722236.67453819
1993-12-27,14.9482,14.9482,14.9482,14.9482,658921.12815368
1993-12-28,13.4545,13.4545,13.4545,13.4545,563258.33334105
1993-12-30,14.8077,14.8077,14.8077,14.8077,757728.73821793
1994-01-03,15.7134,15.7134,15.7134,15.7134,587092.45676905
1994-01-04,16.339,16.339,16.339,16.339,937323.6517424
1994-01-06,16.4113,16.4113,16.4113,16.4113,864959.56369109
1994-01-10,17.0379,17.0379,17.0379,17.0379,713404.31997832
1994-01-11,18.4287,18.4287,18.4287,18.4287,668921.29717897
1994-01-13,20.2372,20.2372,20.2372,20.2372,743862.45677119
1994-01-17,22.1803,22.1803,22.1803,22.1803,655554.06447439
1994-01-18,24.4095,24.4095,24.4095,24.4095,605679.49686364
1994-01-20,26.7704,26.7704,26.7704,26.7704,1123373.8718707
1994-01-24,26.219,26.219,26.219,26.219,611024.57154925
1994-01-25,26.909,26.909,26.909,26.909,583279.88601428
1994-01-27,29.6262,29.6262,29.6262,29.6262,1247371.3207718
1994-01-31,26.6298,26.6298,26.6298,26.6298,699074.34749385
1994-02-01,24.0631,24.0631,24.0631,24.0631
1994-02-03,21.6943,21.6943,21.6943,21.6943,1324588.5063075
1994-02-07,23.8502,23.8502,23.8502,23.8502,678271.89466338
1994-02-08,25.4548,25.4548,25.4548,25.4548,635192.06761876
1994-02-10,24.8936,24.8936,24.8936,24.8936,423536.8081819
1994-02-14,25.4548,25.4548,25.4548,25.4548,432659.09591788
1994-02-15,26.5645,26.5645,26.5645,26.5645,341448.34119965
1994-02-17,26.909,26.909,26.909,26.909,484135.87264814
1994-02-21,26.7704,26.7704,26.7704,26.7704,381487.4056656
1994-02-22,25.5934,25.5934,25.5934,25.5934,245963.34512916
1994-02-24,26.909,26.909,26.909,26.909,658252.3624304
1994-02-28,27.6078,27.6078,27.6078,27.6078,323596.74135663
1994-03-01,27.6078,27.6078,27.6078,27.6078,280575.50707931
1994-03-03,26.909,26.909,26.909,26.909,370560.86478495
1994-03-07,26.909,26.909,26.909,26.909,371489.25708056
1994-03-08,26.909,26.909,26.909,26.909,292597.12657633
1994-03-10,27.1248,27.1248,27.1248,27.1248,415464.13915663
1994-03-14,27.396,27.396,27.396,27.396,359862.63365273
1994-03-15,26.909,26.909,26.909,26.909,246364.4025191
1994-03-17,26.219,26.219,26.219,26.219,324282.68082205
1994-03-21,23.5701,23.5701,23.5701,23.5701,217844.87814764
1994-03-22,21.4884,21.4884,21.4884,21.4884,272714.98428046
1994-03-24,23.5701,23.5701,23.5701,23.5701,619516.48192672
1994-03-28,21.6943,21.6943,21.6943,21.6943,334587.93632534
1994-03-29,19.473,19.473,19.473,19.473,120802.12264316
1994-03-31,17.5962,17.5962,17.5962,17.5962,627465.90409664
1994-04-05,17.6625,17.6625,17.6625,17.6625,323195.68396669
1994-04-07,18.1485,18.1485,18.1485,18.1485,373445.04324411
1994-04-08,17.2438,17.2438,17.2438,17.2438,332982.69654544
1994-04-11,15.5748,15.5748,15.5748,15.5748
1994-04-12,14.0435,14.0435,14.0435,14.0435,275442.57862012
1994-04-14,14.0435,14.0435,14.0435,14.0435,172623.38443633
1994-04-18,14.9482,14.9482,14.9482,14.9482,209409.54009721
1994-04-19,16.4113,16.4113,16.4113,16.4113,366041.13994212
1994-04-21,19.7531,19.7531,19.7531,19.7531,266432.42531811
1994-04-25,19.3987,19.3987,19.3987,19.3987,219127.8577074
1994-04-26,17.5229,17.5229,17.5229,17.5229
1994-04-28,15.7867,15.7867,15.7867,15.7867,190256.77673217
1994-05-05,17.317,17.317,17.317,17.317,151670.40880711
1994-05-06,15.5748,15.5748,15.5748,15.5748,309526.39544449
1994-05-09,15.5748,15.5748,15.5748,15.5748,237924.01336804
1994-05-10,15.9272,15.9272,15.9272,15.9272,186757.37421639
1994-05-12,16.4113,16.4113,16.4113,16.4113,313484.43789738
1994-05-16,18.1485,18.1485,18.1485,18.1485,224267.85770747
1994-05-17,17.8021,17.8021,17.8021,17.8021,203741.19497134
1994-05-19,19.473,19.473,19.473,19.473,340065.34984743
1994-05-23,20.5173,20.5173,20.5173,20.5173,251143.75393426
1994-05-24,20.9291,20.9291,20.9291,20.9291,370717.44890445
1994-05-26,20.7885,20.7885,20.7885,20.7885,307164.50079037
1994-05-30,20.9291,20.9291,20.9291,20.9291,272168.45519241
1994-05-31,20.7885,20.7885,20.7885,20.7885,259552.82626142
1994-06-01,18.8484,18.8484,18.8484,18.8484,262629.9567646
1994-06-06,18.8484,18.8484,18.8484,18.8484,195722.06761274
1994-06-07,17.5229,17.5229,17.5229,17.5229,191417.51965671
1994-06-09,15.7867,15.7867,15.7867,15.7867,167118.69497084
1994-06-13,14.2573,14.2573,14.2573,14.2573
1994-06-14,12.7933,12.7933,12.7933,12.7933,352111.21462746
1994-06-16,14.0435,14.0435,14.0435,14.0435,360335.4166716
1994-06-20,12.7249,12.7249,12.7249,12.7249,221211.94182693
1994-06-21,11.9608,11.9608,11.9608,11.9608,241242.58648129
1994-06-23,11.9608,11.9608,11.9608,11.9608,362092.18947037
1994-06-27,13.1456,13.1456,13.1456,13.1456,229699.8113239
1994-06-28,13.0348,13.0348,13.0348,13.0348,94141.403303176
1994-06-30,12.7249,12.7249,12.7249,12.7249,180464.71305279
1994-07-04,13.3892,13.3892,13.3892,13.3892,115752.03223429
1994-07-05,14.2573,14.2573,14.2573,14.2573,111343.4316053
1994-07-06,15.5748,15.5748,15.5748,15.5748,195845.31446809
1994-07-07,15.7134,15.7134,15.7134,15.7134,199632.62971972
1994-07-11,16.4113,16.4113,16.4113,16.4113,254671.44261355
1994-07-12,18.1485,18.1485,18.1485,18.1485,236257.15016047
1994-07-13,18.8484,18.8484,18.8484,18.8484,332138.15252027
1994-07-14,17.6625,17.6625,17.6625,17.6625,228565.33412263
1994-07-18,19.3987,19.3987,19.3987,19.3987,257049.50078968
1994-07-19,20.0986,20.0986,20.0986,20.0986,329048.89937558
1994-07-20,18.1485,18.1485,18.1485,18.1485,369847.64937613
1994-07-21,18.495,18.495,18.495,18.495,184582.37028555
1994-07-25,18.495,18.495,18.495,18.495
1994-07-26,19.3334,19.3334,19.3334,19.3334,346804.52830664
1994-07-27,19.3334,19.3334,19.3334,19.3334,198653.72641782
1994-07-28,19.3334,19.3334,19.3334,19.3334,229567.47248742
1994-08-01,19.1938,19.1938,19.1938,19.1938,115536.85534749
1994-08-02,18.8484,18.8484,18.8484,18.8484,79136.603774669
1994-08-03,19.1265,19.1265,19.1265,19.1265,180836.47405908
1994-08-04,19.3987,19.3987,19.3987,19.3987,237319.90173281
1994-08-08,19.3987,19.3987,19.3987,19.3987,142925.94339818
1994-08-09,19.3334,19.3334,19.3334,19.3334,147858.84827247
1994-08-10,19.0533,19.0533,19.0533,19.0533,129345.55424705
1994-08-11,18.7078,18.7078,18.7078,18.7078,121591.10456141
1994-08-16,19.3987,19.3987,19.3987,19.3987,132544.92138546
1994-08-17,20.649,20.649,20.649,20.649,203063.33726693
1994-08-18,20.649,20.649,20.649,20.649,193627.88129196
1994-08-22,20.9291,20.9291,20.9291,20.9291,212474.54795889
1994-08-23,23.0187,23.0187,23.0187,23.0187,453701.98113829
1994-08-24,22.3931,22.3931,22.3931,22.3931,230361.5055063
1994-08-25,20.9291,20.9291,20.9291,20.9291,165121.48978214
1994-08-29,21.2082,21.2082,21.2082,21.2082,183344.85063144
1994-08-30,20.9291,20.9291,20.9291,20.9291,161608.95440473
1994-08-31,20.0986,20.0986,20.0986,20.0986,95475.904089358
1994-09-01,19.3987,19.3987,19.3987,19.3987,136128.17217168
1994-09-05,17.5229,17.5229,17.5229,17.5229,267606.30110429
1994-09-06,15.7867,15.7867,15.7867,15.7867,227730.89229872
1994-09-07,16.1321,16.1321,16.1321,16.1321,190402.24843028
1994-09-08,17.317,17.317,17.317,17.317,168105.68003375
1994-09-12,17.317,17.317,17.317,17.317,157205.40487637
1994-09-13,15.6471,15.6471,15.6471,15.6471,278359.08412331
1994-09-14,15.3006,15.3006,15.3006,15.3006,221390.7507892
1994-09-15,15.162,15.162,15.162,15.162,166572.16588278
1994-09-19,14.6028,14.6028,14.6028,14.6028,268968.07783387
1994-09-20,14.1167,14.1167,14.1167,14.1167,232037.460695
1994-09-21,12.7933,12.7933,12.7933,12.7933,262037.96777088
1994-09-22,13.2783,13.2783,13.2783,13.2783,123674.17846081
1994-09-26,12.6547,12.6547,12.6547,12.6547,108328.93474991
1994-09-27,11.9608,11.9608,11.9608,11.9608,100226.969341
1994-09-28,12.6547,12.6547,12.6547,12.6547,237979.57547496
1994-09-29,13.6327,13.6327,13.6327,13.6327,136298.89937294
1994-10-03,14.2573,14.2573,14.2573,14.2573,195805.91588319
1994-10-04,14.3236,14.3236,14.3236,14.3236,147721.45833536
1994-10-05,14.9482,14.9482,14.9482,14.9482,134099.65015907
1994-10-06,14.9482,14.9482,14.9482,14.9482,149451.96541085
1994-10-07,14.9482,14.9482,14.9482,14.9482,106129.68553604
1994-10-10,14.4642,14.4642,14.4642,14.4642,87713.372642711
1994-10-11,13.7356,13.7356,13.7356,13.7356,124113.62421554
1994-10-12,13.7356,13.7356,13.7356,13.7356,98676.281447892
1994-10-13,13.1456,13.1456,13.1456,13.1456,71574.09591293
1994-10-14,13.7356,13.7356,13.7356,13.7356,128624.25707723
1994-10-17,13.8752,13.8752,13.8752,13.8752,51421.214623346
1994-10-18,13.8752,13.8752,13.8752,13.8752,62396.246070037
1994-10-19,13.9772,13.9772,13.9772,13.9772,78138.506290378
1994-10-20,13.7356,13.7356,13.7356,13.7356,70743.694969522
1994-10-21,13.0348,13.0348,13.0348,13.0348,73820.825472709
1994-10-24,12.4478,12.4478,12.4478,12.4478,85018.105347076
1994-10-25,12.5497,12.5497,12.5497,12.5497,131694.31603954
1994-10-26,12.0637,12.0637,12.0637,12.0637,117159.26886953
1994-10-27,11.3728,11.3728,11.3728,11.3728,98390.389152291
1994-10-28,10.8788,10.8788,10.8788,10.8788,83603.797170956
1994-11-02,11.9608,11.9608,11.9608,11.9608,123153.91509603
1994-11-03,12.5497,12.5497,12.5497,12.5497,164511.31682615
